RA_low,RA_up,DE_low,name
0.0000,24.0000,88.0000,UMI
8.0000,14.5000,86.5000,UMI
21.0000,23.0000,86.1667,UMI
18.0000,21.0000,86.0000,UMI
0.0000,8.0000,85.0000,CEP
9.1667,10.6667,82.0000,CAM
0.0000,5.0000,80.0000,CEP
10.6667,14.5000,80.0000,CAM
17.5000,18.0000,80.0000,UMI
20.1667,21.0000,80.0000,DRA
0.0000,3.5083,77.0000,CEP
11.5000,13.5833,77.0000,CAM
16.5333,17.5000,75.0000,UMI
20.1667,20.6667,75.0000,CEP
7.9667,9.1667,73.5000,CAM
9.1667,11.3333,73.5000,DRA
13.0000,16.5333,70.0000,UMI
3.1000,3.4167,68.0000,CAS
20.4167,20.6667,67.0000,DRA
11.3333,12.0000,66.5000,DRA
0.0000,0.3333,66.0000,CEP
14.0000,15.6667,66.0000,UMI
23.5833,24.0000,66.0000,CEP
12.0000,13.5000,64.0000,DRA
13.5000,14.4167,63.0000,DRA
23.1667,23.5833,63.0000,CEP
6.1000,7.0000,62.0000,CAM
20.0000,20.4167,61.5000,DRA
20.5367,20.6000,60.9167,CEP
7.0000,7.9667,60.0000,CAM
7.9667,8.4167,60.0000,UMA
19.7667,20.0000,59.5000,DRA
20.0000,20.5367,59.5000,CEP
22.8667,23.1667,59.0833,CEP
0.0000,2.4333,58.5000,CAS
19.4167,19.7667,58.0000,DRA
1.7000,1.9083,57.5000,CAS
2.4333,3.1000,57.0000,CAS
3.1000,3.1667,57.0000,CAM
22.3167,22.8667,56.2500,CEP
5.0000,6.1000,56.0000,CAM
14.0333,14.4167,55.5000,UMA
14.4167,19.4167,55.5000,DRA
3.1667,3.3333,55.0000,CAM
22.1333,22.3167,55.0000,CEP
20.6000,21.9667,54.8333,CEP
0.0000,1.7000,54.0000,CAS
6.1000,6.5000,54.0000,LYN
12.0833,13.5000,53.0000,UMA
15.2500,15.7500,53.0000,DRA
21.9667,22.1333,52.7500,CEP
3.3333,5.0000,52.5000,CAM
22.8667,23.3333,52.5000,CAS
15.7500,17.0000,51.5000,DRA
2.0417,2.5167,50.5000,PER
17.0000,18.2333,50.5000,DRA
0.0000,1.3667,50.0000,CAS
1.3667,1.6667,50.0000,PER
6.5000,6.8000,50.0000,LYN
23.3333,24.0000,50.0000,CAS
13.5000,14.0333,48.5000,UMA
0.0000,1.1167,48.0000,CAS
23.5833,24.0000,48.0000,CAS
18.1750,18.2333,47.5000,HER
18.2333,19.0833,47.5000,DRA
19.0833,19.1667,47.5000,CYG
1.6667,2.0417,47.0000,PER
8.4167,9.1667,47.0000,UMA
0.1667,0.8667,46.0000,CAS
12.0000,12.0833,45.0000,UMA
6.8000,7.3667,44.5000,LYN
21.9083,21.9667,44.0000,CYG
21.8750,21.9083,43.7500,CYG
19.1667,19.4000,43.5000,CYG
9.1667,10.1667,42.0000,UMA
10.1667,10.7833,40.0000,UMA
15.4333,15.7500,40.0000,BOO
15.7500,16.3333,40.0000,HER
9.2500,9.5833,39.7500,LYN
0.0000,2.5167,36.7500,AND
2.5167,2.5667,36.7500,PER
19.3583,19.4000,36.5000,LYR
4.5000,4.6917,36.0000,PER
21.7333,21.8750,36.0000,CYG
21.8750,22.0000,36.0000,LAC
6.5333,7.3667,35.5000,AUR
7.3667,7.7500,35.5000,LYN
0.0000,2.0000,35.0000,AND
22.0000,22.8167,35.0000,LAC
22.8167,22.8667,34.5000,LAC
22.8667,23.5000,34.5000,AND
2.5667,2.7167,34.0000,PER
10.7833,11.0000,34.0000,UMA
12.0000,12.3333,34.0000,CVN
